user,location,tweet,likes,RT,Source,ID,Date
EarthWizardInfo,USA,receive valuable home organizing tips - find out how to effectively manage shelf clutter - find Declutter Life Coac… https://t.co/Tyacbcbq4k,0,0,access api from my account only,1509358268627529740,2022-03-31 02:33:48+00:00
pup2dog,,"Claudias Canine Bakery Reindeer Wonderland - Treats ==&gt; https://t.co/QwYlZpD2Zr

#3treats #COVID19 #stayathome… https://t.co/rzrnK1AwHK",2,0,p2dog app,1509355840603660290,2022-03-31 02:24:09+00:00
pup2dog,,"ClaudiaS Canine Cuisine 24 Piece Sprinkles - Treats ==&gt; https://t.co/uQpC2EZJQX

#3treats #COVID19 #stayathome… https://t.co/aB97mWNHDv",1,0,p2dog app,1509344472471121926,2022-03-31 01:38:59+00:00
Manifattura40,Web,RT @dwoodru11: Enzolytics is the solution! #covid #coronavirus #corona #love #stayhome #bhfyp #quarantine #instagood #lockdown #staysafe #i…,0,1,Twitter Bot 2020_87,1509342957975097351,2022-03-31 01:32:58+00:00
dwoodru11,,Enzolytics is the solution! #covid #coronavirus #corona #love #stayhome #bhfyp #quarantine #instagood #lockdown… https://t.co/r69OQ6SIlS,1,1,Twitter for iPhone,1509342710276272129,2022-03-31 01:31:59+00:00
dwoodru11,,Enzolytics is the solution! #covid #coronavirus #corona #love #stayhome #bhfyp #quarantine #instagood #lockdown… https://t.co/l4XnQZ7Anm,1,0,Twitter for iPhone,1509342585650921472,2022-03-31 01:31:29+00:00
live_with_covid,,#EnjoyFromHome // Make a plan for moving to another city where you want to live. Search rooms via web and imagine n… https://t.co/kQmU5T9UZi,0,0,twittbot.net,1509341189798973440,2022-03-31 01:25:56+00:00
mypuppypics,,"RT @pup2dog: Cesar Softies 3 flavor Grilled Chicken - Treats ==&gt; https://t.co/5n85cbxsxc

#3treats #COVID19 #stayathome #stayhome #yummies…",0,1,purdymeez 333,1509337693788020741,2022-03-31 01:12:02+00:00
pup2dog,,"Claudias Canine Bakery Birthday Clamshell - Treats ==&gt; https://t.co/YOowLCSA2D

#3treats #COVID19 #stayathome… https://t.co/pLMhW3rg7x",1,0,p2dog app,1509333143962198019,2022-03-31 00:53:58+00:00
Cindythecatpink,Kalteng,"[OLD] I made drawing at home for school

#stayathome
#dirumahaja
#schoolathome
#cindysanshoujoart https://t.co/q6GWOXFQbC",0,0,Twitter Web App,1509325886906339329,2022-03-31 00:25:08+00:00
urdoingamazings,Love and support,"you                are               doing                  amazing,                  sweeetie,… https://t.co/LIIX9F4Q2K",0,0,You're doing amazing sweetie,1509325156027711491,2022-03-31 00:22:13+00:00
YODL17,Los Angeles,RT @dwoodru11: Enzolytics is the solution! #covid #coronavirus #corona #love #stayhome #bhfyp #quarantine #instagood #lockdown #staysafe #i…,0,3,Twitter for Android,1509323186373992454,2022-03-31 00:14:24+00:00
pup2dog,,"Claudias Canine Bakery Favorite Gourmet - Treats ==&gt; https://t.co/DVvh0rKWkn

#3treats #COVID19 #stayathome… https://t.co/2P2uQvtHD0",1,0,p2dog app,1509321817466585093,2022-03-31 00:08:57+00:00
GlamdByVivid,New Orleans,"Get your free color swatch. Become #artinmotion everyday, anywhere you are. Know what works for you. Know your colo… https://t.co/Sjlwksvodg",0,0,PLANOLY,1509319751700418563,2022-03-31 00:00:45+00:00
