user,location,tweet,likes,RT,Source,ID,Date
NationBarbados,Barbados,"#Barbados Situation Dashboard for Friday, March 25, 2022.
Know the #COVID-19 facts.
#meandmynation… https://t.co/eqETwdThqt",0,0,Buffer,1507864685026193415,2022-03-26 23:38:50+00:00
Seachranaidhe,"Coalisland, North of Ireland.",RT @LauraMySklar: Help us better understand #LongHaulCOVID take this doctoral student research survey to help care providers understand the…,0,27,Twitter Web App,1507864530264768517,2022-03-26 23:38:13+00:00
njoyflyfishing,"Los Angeles, CA",Growth in 7D US Confirmed Covid Cases by County For DE   2022-03-22:  Latest Covid Insights by Our Analytics Team u… https://t.co/2g5c6mJYJL,0,0,smcapplication,1507864465194160129,2022-03-26 23:37:57+00:00
selfbosstheone,,"RT @DarioForGuo: #MilesGuo #NFSC #HimalayaExchange #HCoin #Covid  
Miles, a death roll listed prisoner, is alive today and in New York now…",0,25,Twitter for iPhone,1507864283505332224,2022-03-26 23:37:14+00:00
sla73,Brisbane,"RT @SilverDuke1984: Just a reminder.....

#COVID19 #CovidIsNotOver #Covid https://t.co/QkOrwnt7P8",0,42,Twitter Web App,1507864269324709888,2022-03-26 23:37:11+00:00
inaminute23,"Manchester, where else?","RT @BernieSpofforth: Resist this rubbish!

Deaths are below average for this time of year and Covid cases are falling. 
She’s making a mock…",0,184,Twitter for Android,1507864055566028802,2022-03-26 23:36:20+00:00
njoyflyfishing,"Los Angeles, CA",Growth in 7D US Confirmed Covid Cases by County For DE   2022-03-22:  Latest Covid Insights by Our Analytics Team u… https://t.co/I1Cl0YYkXS,0,0,smcapplication,1507864035567423489,2022-03-26 23:36:15+00:00
selfbosstheone,,"RT @DarioForGuo: #MilesGuo #NFSC #HimalayaExchange #HCoin #Covid 
The pandemic is far than gone, the curve will rise again, in particular #…",0,31,Twitter for iPhone,1507863994383536130,2022-03-26 23:36:05+00:00
dcbat,Washington DC,"RT @dcbat: Is the #COVID #pandemic #coming to an #end?

#retweet #poll",0,5,Twitter Web App,1507863959839334408,2022-03-26 23:35:57+00:00
Paperboy415,San Francisco - Connecticut,@mhdksafa I’m 4 times #vaccinated. Travelled every month during #Covid. Never got it. (Also anal about sanitizing and mask wearing),0,0,Twitter for iPhone,1507863949781438472,2022-03-26 23:35:55+00:00
dolphin2,England,"RT @BystandersUK: Rising #Covid infections a concern? 
YES it bloomin' well is!
https://t.co/Tj7SudGOvY 
""organ dysfunction...the heart, lu…",0,1,TweetDeck,1507863934098939908,2022-03-26 23:35:51+00:00
INVUQT,,#BigPharma #BigLies being sold by their paid puppets! All vaxxine deaths were caused by #Covid or variants when the… https://t.co/udTUPEts4W,0,0,Twitter for Android,1507863870249000964,2022-03-26 23:35:36+00:00
BinarioAl,,"RT @BernieSpofforth: Resist this rubbish!

Deaths are below average for this time of year and Covid cases are falling. 
She’s making a mock…",0,184,Twitter for iPhone,1507863860505722887,2022-03-26 23:35:33+00:00
HiringCare,Everywhere,"RT @JInfo4us: Looking for a restaurant GM
https://t.co/T4zzA9fQfT
#employment #jobs #hiring #job #jobsearch #recruitment #career #work #car…",0,1,The Jobicy Universe,1507863852293177347,2022-03-26 23:35:31+00:00
tbcontrollers,,"RT @fmparvez1: All new interns &amp; residents should review this information on #TB infection. Pre-#COVID, #tuberculosis was the leading infec…",0,1,Twitter for iPhone,1507863828284985347,2022-03-26 23:35:26+00:00
WickedPrepping,,"😱Here's 19 Reasons I Won’t Be Getting a COVID Vaccination...

---&gt; https://t.co/9F04zvUkdX 

#Covid #COVIDー19… https://t.co/k01iqTMT0i",0,0,Hootsuite Inc.,1507863727114227712,2022-03-26 23:35:01+00:00
StephenHale_,Chicago.,What happened to all the #COVID coverage?,0,0,Twitter for iPhone,1507863721506394113,2022-03-26 23:35:00+00:00
sackec,,"RT @OphthTimes: #COVID-19: Investigators focus on vaccine’s impact on eyes
https://t.co/pLuqcTW8Dw
#Ophthalmology #Clinical #Vaccine #Coron…",0,2,Twitter for iPhone,1507863709959569412,2022-03-26 23:34:57+00:00
dolphin2,England,RT @HelenRushby1: @Chaela1982 @nadhimzahawi I am a school governor small primary in Nottinghamshire which has been closed for a week due to…,0,29,TweetDeck,1507863622889922567,2022-03-26 23:34:37+00:00
VippusaO,USA,"This is funny AF:
2021 #COVID Derby 
https://t.co/ByACsUprY4",0,0,The Social Jukebox,1507863581873905664,2022-03-26 23:34:27+00:00
