user,location,tweet,likes,RT,Source,ID,Date
PojeWilliam,,"https://t.co/26B5iHFE4p…………

The Washington Post reports that the Joe Biden White House will soon ask Congress for… https://t.co/zPDOhjlea1",0,0,Twitter Web App,1505925480653991946,2022-03-21 15:13:07+00:00
EdgeforScholars,"Nashville, TN",Virtual tools at the ready for mentors and mentees to access from @NRMNET during COVID-19. Video tips  for how to a… https://t.co/UHDpbIY05y,0,0,CoSchedule,1505925480381304841,2022-03-21 15:13:07+00:00
Mildia88,Indonesia,RT @PakPMO: He also appreciated IsDB’s support to Pakistan for the procurement of COVID-19 vaccines which greatly contributed to National V…,0,7,Twitter for Android,1505925477642674181,2022-03-21 15:13:07+00:00
4rxcard,Connecticut,COVID-19 Led to Dangerous Delays in Care for Women With Gynecologic Cancers https://t.co/kFmtC7EbRi https://t.co/jrNz22eHR5,0,0,dlvr.it,1505925474047840256,2022-03-21 15:13:06+00:00
BirdOwl,,Doctors finding hurdles to using pills to treat COVID-19 https://t.co/YwmMU6Adb9 via @abcnews https://t.co/Wi690GSDsh,0,0,dlvr.it,1505925472252620801,2022-03-21 15:13:05+00:00
PEPnetwork,Kenya & the Global South,"More from #CoreCovid

📄Read the latest CORE Research for Policy and Practice report, Why Covid-19 recovery must be… https://t.co/wqcS5OEQ8C",0,0,Twitter Web App,1505925469367062532,2022-03-21 15:13:05+00:00
NiagaraGoldman,"Niagara Falls, Ontario",RT @DrJacobsRad: Hospitalized patients testing positive for COVID-19 remain below 600 and more than half are admitted for reasons other tha…,0,5,Twitter for iPhone,1505925467911692294,2022-03-21 15:13:04+00:00
easy1013,,"RT @ONThealth: Masking requirements will remain in place in the following settings: 
•Public transit
•Long-term care and retirement homes
•…",0,24,Twitter Web App,1505925465126617091,2022-03-21 15:13:04+00:00
CTVMontreal,Montreal,"Quebec adds five new COVID-19 deaths, hospitalizations up over 1,000  https://t.co/RGqkto8GMT",0,0,True Anthem,1505925462991720451,2022-03-21 15:13:03+00:00
AmorginaAnnie,Occitanie,"RT @EvonneTCurran: BREAKING: NHS England is to release an IPC Manual at the end of March which says COVID-19 is spread via DROPLETS

SARS-C…",0,464,Twitter for Android,1505925462278684672,2022-03-21 15:13:03+00:00
pantherwild,Bristol,"RT @JujuliaGrace: The doctors I’m speaking to are really concerned about this wave of COVID-19. Lots of NHS staff sickness, lots of elderly…",0,851,Twitter for Android,1505925460886278153,2022-03-21 15:13:03+00:00
Woofkoof,United States,@gypsydaze1 @Michele97777714 @simms3710 @ABC @fransaundersays @Leslie_resists The Court spokesperson said Justice T… https://t.co/SQTVtrojMh,0,0,Twitter Web App,1505925460147986437,2022-03-21 15:13:03+00:00
jammuweeklynews,Jammu And Kashmir,J&amp;K Govt issues restrictions for COVID-19 containment https://t.co/xPk2Wkhjvj,0,0,Twitter for Android,1505925460126928904,2022-03-21 15:13:03+00:00
PatriciaClaxton,Northants,"RT @JujuliaGrace: Dear @sajidjavid,

COVID-19 cases, hospitalisations and deaths are all rising. Why aren’t you doing anything?",0,924,Twitter for iPad,1505925459686666248,2022-03-21 15:13:02+00:00
maxairsystems,"Irvine, CA",The COVID Prison Project compiles data from all 50 US states to monitor COVID-19 infections rates in prisons. MAXAI… https://t.co/m7Q5J1xip8,0,0,Sprout Social,1505925458872918023,2022-03-21 15:13:02+00:00
KayAnneSacto,Sacramento,"@SiebelBen @laurenboebert As of this morning...

Nearly a MILLION confirmed deaths from Covid-19 in the US.

997,93… https://t.co/TY9coxTQRD",0,0,Twitter Web App,1505925458403082243,2022-03-21 15:13:02+00:00
Lastplantagenet,"East Midlands, England","RT @liz_churchill_: If you still believe the ‘Great Reset’ is a Conspiracy Theory while the WEF literally throws the book, ‘Covid-19 The Gr…",0,635,Twitter for iPad,1505925456809406467,2022-03-21 15:13:02+00:00
EducationNews_b,Internet,"The mask mandate returns to six Chicago Public Schools classrooms a... (https://t.co/erzuPBFpou)

Brenna O'Brien, a… https://t.co/KMM1DGc2EO",0,0,Education PLOW,1505925448580034565,2022-03-21 15:13:00+00:00
aamdsif,"Bethesda, MD",RT @JournalCancer: Our recent #COVID19 papers are featured in a growing collection of papers related to COVID-19 published by the American…,0,1,Hootsuite Inc.,1505925442733326336,2022-03-21 15:12:58+00:00
gatjmv,Rwanda,"RT @julietmbabaz: #Rwanda's GDP growth in 2021 is 10.9% following a decrease of 3.4% in 2020. In 2021, most sectors recovered beyond their…",0,5,Twitter for Android,1505925440812335106,2022-03-21 15:12:58+00:00
WFXRnews,"Roanoke, Virginia",AstraZeneca says COVID-19 drug neutralizes omicron variants https://t.co/sTiGz7jOhK,0,0,SocialFlow,1505925438018891781,2022-03-21 15:12:57+00:00
thealoz21,,"RT @0bj3ctivity: @DaveLeeERMD ""We present three confirmed-patients for COVID-19 with floating aortic thrombi""

https://t.co/gjtT1sVFpe",0,13,Twitter for iPad,1505925434877386754,2022-03-21 15:12:57+00:00
DonnVahratian,Michigan USA,"RT @realLizUSA: ICYMI: ""Hubris, myopia and inertia: The anatomy of Biden’s failed COVID-19 strategy""

https://t.co/ScYfttJZiQ https://t.co/…",0,1,Twitter for iPhone,1505925434462154754,2022-03-21 15:12:56+00:00
RapaNews,"San Francisco, CA",RT @bioagelabs: Today in @Nature: New study shows @bioagelabs’ investigational drug BGE-175/asapiprant protects aged mice from COVID-19 let…,0,3,Twitter Web App,1505925431232393218,2022-03-21 15:12:56+00:00
JulesCartmell,,RT @aptusclinical: New Release: Development of Novel Wearables and AI Capabilities to Support the Monitoring of COVID-19 Patients. Could th…,0,1,Twitter for iPhone,1505925424043503618,2022-03-21 15:12:54+00:00
MeghinDelaney,"Las Vegas, NV",RT @SNHDinfo: Check our COVID-19 calendar for updated #COVID19 testing sites at https://t.co/crJCmwHbi6. Get tested for COVID-19 if you hav…,0,1,Twitter for iPhone,1505925423129006087,2022-03-21 15:12:54+00:00
Inkka_tako,"Bangkok,Thailand","RT @soompi: Stray Kids' Bang Chan, Lee Know, And Hyunjin Test Positive For COVID-19
https://t.co/kCAZJKa3kS https://t.co/RPLcJVKCTn",0,419,Twitter for iPad,1505925422084546567,2022-03-21 15:12:54+00:00
Mae522018,,"RT @diedsuddenly: ""I'm not supposed to talk about it""

https://t.co/UFGUTLlgSH",0,17,Twitter for iPhone,1505925422076334080,2022-03-21 15:12:54+00:00
AustinLouis5,"Cambridge,Oh","RT @ClintonCoHealth: ""As for communicable diseases — meaning diseases that can be transmitted from one person to another — the Clinton Coun…",0,1,Twitter for Android,1505925421736640516,2022-03-21 15:12:53+00:00
Jb_volin,,"RT @PGtzsche1: My new book, The Chinese virus: Killed millions and scientific freedom, documents the US-Chinese cover up for the origin of…",0,38,Twitter for iPhone,1505925421124263943,2022-03-21 15:12:53+00:00
MariaM24324667,,"RT @StuartDNeilson: @Kellie_T92 Covid-19 is far more likely to infect the same people again. Avoiding Covid-19 is not complex, and people w…",0,2,Twitter for Android,1505925416481173514,2022-03-21 15:12:52+00:00
JohnDexterCruz5,"Lungsod ng Makati, Pambansang ","RT @ABSCBNNews: PH logs 3,572 new COVID-19 cases or an average of 510 daily cases from March 14 to 20.

655 deaths verified in the past wee…",0,24,Twitter for Android,1505925415063687173,2022-03-21 15:12:52+00:00
gwcn_2020,,"RT @gutresolution: As of March 11, there have been 25,641 deaths, 29,135 life-threatening adverse events, 47,676 cases of permanent disabil…",0,170,Twitter for iPhone,1505925413431820293,2022-03-21 15:12:51+00:00
