user,location,tweet,likes,RT,Source,ID,Date
susankey_key,"Atlanta, GA","RT @sailorrooscout: If you needed more proof that vaccines work, Switzerland is reporting COVID-19 deaths by vaccination/booster status. ht…",0,724,Twitter for Android,1505923207282536454,2022-03-21 15:04:05+00:00
WRHospital,"Windsor, Ontario",@BethBlp8 As stated in the release there are many options available in the community for COVID-19 vaccinations. Ple… https://t.co/5UlKATdnve,1,0,Twitter for iPhone,1505923204786835457,2022-03-21 15:04:05+00:00
tsekph,National Capital Region,"#FactCheck by @PhilstarNews: FALSE
Presidential candidate Jose Montemayor falsely claimed in a televised debate th… https://t.co/nWRjmISvFu",1,0,Twitter for Android,1505923201200947208,2022-03-21 15:04:04+00:00
allazohealth,"New York, NY",Organizations that pivot during COVID-19 stand to gain immensely while helping patients. Learn how to adapt to new… https://t.co/eAcv2kgNns,0,0,HubSpot,1505923200651247616,2022-03-21 15:04:04+00:00
YannisKaramits4,,"RT @Sondreus: A bit of good news amid much gloom: tools to fight malaria are getting better. For this week's issue of @TheEconomist, I calc…",0,9,Twitter Web App,1505923199342714889,2022-03-21 15:04:04+00:00
Chandra51364237,"Delhi , India",RT @indianposten: @RameshS05611011 @KumaPraty @JitendraManoha6 @Chandra51364237 @AnilKum04619533 @RajeshK83114811 @hisamuddink51 @AaqCyrus…,0,2,Twitter for Android,1505923198701154304,2022-03-21 15:04:03+00:00
ZahartArb,,"Amid COVID-19 spike, China locks down city of Changchun",0,0,Twitter Web App,1505923198600335360,2022-03-21 15:04:03+00:00
xiaosaxiaoge01,,"RT @HAGnews2: Doctors' confirmed that the spike protein induces the same diseases as COVID
After the spike protein is injected, it enters v…",0,145,Twitter Web App,1505923197530636290,2022-03-21 15:04:03+00:00
GowSte,Teesside,"RT @CMO_England: COVID-19 rates are still very high, and rising again
Vaccines substantially reduce rates of severe disease and hospitalis…",0,915,Twitter for iPhone,1505923197262352389,2022-03-21 15:04:03+00:00
StefanM411,Who knows ,"Canada's Wonderland says 
🔹Reservations are not required for any guest. 
🔹Proof of vaccination is not required to v… https://t.co/f7XtJrVQyP",2,1,Twitter Web App,1505923190274461697,2022-03-21 15:04:01+00:00
ra_hindustani,,RT @indianposten: @RameshS05611011 @KumaPraty @JitendraManoha6 @Chandra51364237 @AnilKum04619533 @RajeshK83114811 @hisamuddink51 @AaqCyrus…,0,2,Twitter for Android,1505923189922500612,2022-03-21 15:04:01+00:00
nic_mclean,"Washington, DC","RT @StrumpetLily: @BenMFreeman I care, and it's heartbreaking. Vaccination rate for older people is low there, so now Covid-19 is running r…",0,9,Twitter Web App,1505923188949139456,2022-03-21 15:04:01+00:00
ReubenCollege,"Oxford, England",Reuben Fellow @K_Devolder has been making videos in conversation with a range of fascinating people on ethical issu… https://t.co/wu7zwwF2nm,1,0,TweetDeck,1505923183874121740,2022-03-21 15:04:00+00:00
banderasnews,"Puerto Vallarta, Mexico","Free COVID-19 Testing Center in Vallarta
https://t.co/bEqHUjjBuc #BanderasNews Suspect that you have Covid-19? You… https://t.co/ErlSXVBEcH",0,0,Twitter Web App,1505923183798538240,2022-03-21 15:04:00+00:00
Common_SenseCO,"Colorado, USA","RT @nickholtpodcast: Up to 7,000 Australians may have died as a result of the Covid-19 vaccines. The TGA and ATAGI are concealing vital inf…",0,671,Twitter for Android,1505923177498611719,2022-03-21 15:03:58+00:00
busterwave,,"RT @trishgreenhalgh: The UK government's let-it-rip approach to COVID-19 is dangerous, foolish and will have far-reaching consequences for…",0,839,Twitter for Android,1505923176496345091,2022-03-21 15:03:58+00:00
E46088871,,"RT @JujuliaGrace: Please take COVID-19 seriously. UK cases, hospitalisations and deaths are all climbing. Our government isn’t taking actio…",0,995,Twitter Web App,1505923176261472260,2022-03-21 15:03:58+00:00
febdonline,"Dhaka, Bangladesh",The Local Government Division under the Ministry of LGRD and Cooperatives will implement a project to this end titl… https://t.co/NZd1aMc5Up,0,0,Twitter Web App,1505923165339348992,2022-03-21 15:03:55+00:00
henryfaber,"Toronto, Ontario",This resulted in both my mother and grandmother getting sick with COVID-19. It resulted in the hospitalization of m… https://t.co/v3dLsYXhmU,0,0,Twitter Web App,1505923164592816132,2022-03-21 15:03:55+00:00
Carol38553,Clarkrange Tennessee,Fauci's agency recruiting volunteers for study on COVID-19 vaccine allergic reactions https://t.co/1BgtMONYE2 via @JustTheNews,0,0,Twitter Web App,1505923163737178115,2022-03-21 15:03:55+00:00
sixtyfive_ke,,"RT @BravinYuri: Since the Ukraine-Russia Conflict, their has been no new COVID-19 Variant? Interesting.",0,32,Twitter for Android,1505923161438793728,2022-03-21 15:03:55+00:00
Causeandeffect0,,"RT @CTVNews: Fewer COVID-19 restrictions will lead to more transmission, new variants: experts https://t.co/q3DIYa7kZS https://t.co/MRbDnUe…",0,80,Twitter for Android,1505923154257932292,2022-03-21 15:03:53+00:00
AFTCT,Connecticut,RT @politico: Surgeon General Vivek Murthy said the nation can’t ignore the possibility of a new spike but that it is in a better position…,0,16,Twitter Web App,1505923144443469825,2022-03-21 15:03:50+00:00
RobertFillies1,"Dover, England","RT @JujuliaGrace: I’d much prefer that the media focussed on the rise in COVID-19 cases, hospitalisations and deaths than the minutiae of a…",0,351,Twitter for Android,1505923143558443008,2022-03-21 15:03:50+00:00
bathnes,BA1 5AW,"@BathSpaUni is hosting the NHS Covid-19 vaccine bus today, Thursday and again next Monday.
Vaccinations are availa… https://t.co/XlVTTNoWun",1,1,Hootsuite Inc.,1505923141373157380,2022-03-21 15:03:50+00:00
koorsenfire,"Indianapolis, Indiana","Learn about the potential fire safety issues that schools face as they reopen and how to address them. 
Fire Safet… https://t.co/ivm5onoaAO",0,0,HubSpot,1505923139322191873,2022-03-21 15:03:49+00:00
liebshen15,Portsmouth UK,"RT @JujuliaGrace: I’d much prefer that the media focussed on the rise in COVID-19 cases, hospitalisations and deaths than the minutiae of a…",0,351,Twitter Web App,1505923137036328970,2022-03-21 15:03:49+00:00
BleslaChevonne,"Seoul, Republic of Korea","RT @TheKoreaHerald: S. Korea‘s daily COVID-19 cases fall below 300,000 for the first time in 10 days
#SouthKorea #COVID #omicron
https://t.…",0,7,Twitter for iPhone,1505923133412237317,2022-03-21 15:03:48+00:00
Babyscripts,"Washington, DC","This study found a link between #covid infection and early #preeclampsia, a diagnosis that can lead to preterm birt… https://t.co/z8uwPMn3zS",1,0,HubSpot,1505923129570435080,2022-03-21 15:03:47+00:00
SolitaireRose,The Solitaire Rose Compound,Anthony Fauci says US unlikely to see surge from new COVID-19 variant. Does this mean the right wingers who say he… https://t.co/aNEYF1LsSq,0,0,Twitter Web App,1505923128333148162,2022-03-21 15:03:47+00:00
45_forlife,,RT @Ed49259925: Russia has broken free from the clutches of the New World Order. President Putin has ordered all COVID-19 related mandates…,0,1459,Twitter Web App,1505923126475075588,2022-03-21 15:03:46+00:00
julietmbabaz,Rwanda,"#Rwanda's GDP growth in 2021 is 10.9% following a decrease of 3.4% in 2020. In 2021, most sectors recovered beyond… https://t.co/4u2Yhgy5r0",5,5,Twitter Web App,1505923121043357699,2022-03-21 15:03:45+00:00
ElliLucie,,"RT @sailorrooscout: So, not COVID-19 related, however, this is really exciting news I wanted to share. The first participant has been dosed…",0,260,Twitter for Android,1505923120053600259,2022-03-21 15:03:45+00:00
SteveCa31353955,,"RT @HealthInsider: I'm a COVID-19 nurse. I'm burned out, my colleagues are coming in sick, and some days, I just want to quit. https://t.co…",0,4,Twitter for Android,1505923114143789057,2022-03-21 15:03:43+00:00
CambsPboroCCG,"Cambridgeshire, UK",RT @ccs_nhst: Martyn's been a stalwart steward at our #CovidVaccination sites for just over a year. Here he shares the highs and lows of be…,0,2,TweetDeck,1505923113644703746,2022-03-21 15:03:43+00:00
unsureifrat,,"RT @sailorrooscout: So, not COVID-19 related, however, this is really exciting news I wanted to share. The first participant has been dosed…",0,260,Twitter for Android,1505923112830967808,2022-03-21 15:03:43+00:00
cindy4CHRISTnTN,,"RT @BreitbartNews: A high-level source within the Department of Homeland Security says the agency set a tentative date of April 1, 2022, to…",0,15,Twitter for iPhone,1505923112080228355,2022-03-21 15:03:43+00:00
scudexo1000,"Liberté de penser, conscience",RT @SenRonJohnson: Our children have lived in a state of fear for the past two years thanks to Anthony Fauci and his miserable failure of a…,0,666,Twitter for Android,1505923108011659269,2022-03-21 15:03:42+00:00
KajalJ13,🇺🇸 ,"RT @sweetsparrkle: Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",0,19,Twitter Web App,1505923104589201408,2022-03-21 15:03:41+00:00
kinnafrost,against all bigots,"RT @rustycohl: fyi early studies seem to indicate a fourth booster has little to no effect on COVID-19 outcomes, so I'd hold on to your but…",0,1,Twitter for iPhone,1505923101179228163,2022-03-21 15:03:40+00:00
emlawrance,,"RT @JujuliaGrace: I’d much prefer that the media focussed on the rise in COVID-19 cases, hospitalisations and deaths than the minutiae of a…",0,351,Twitter for iPhone,1505923100151533572,2022-03-21 15:03:40+00:00
SOmoikane,,RT @DrTeckKhong: Subacute thyroiditis following COVID‐19 vaccination - a paper from my alma mater confirms my fears on a range of late-onse…,0,211,Twitter Web App,1505923097010003979,2022-03-21 15:03:39+00:00
cjdjam,"West Chester, OH",RT @IamCPS: March 24: Get your free COVID-19 vaccine or booster at Winton Hills Academy from 5 - 7:30 p.m. Your favorite super heroes will…,0,2,Twitter for iPhone,1505923096292769796,2022-03-21 15:03:39+00:00
NLintheUSA,Washington D.C.,"@texasdaniel @usambnl @TSA We hope your uncle had a good trip, despite of all the paperwork! Luckily, traveling to… https://t.co/1vbmSD4AJa",1,0,Twitter Web App,1505923095953031174,2022-03-21 15:03:39+00:00
NHSHighland,Headquarters in Inverness,"(1/2) The following COVID-19 vaccination clinics are now available for drop-ins for COVID-19 boosters, 1st and 2nd… https://t.co/1yLH1Qzys1",0,0,Twitter Web App,1505923093331652610,2022-03-21 15:03:38+00:00
JamesKe33893131,Bexhill south coast UK,"RT @JujuliaGrace: Dear @sajidjavid,
COVID-19 cases, hospitalisations and deaths are all rising. Why aren’t you doing anything?",0,924,Twitter Web App,1505923088487170049,2022-03-21 15:03:37+00:00
rollypoly31,,"RT @JHoganGidley: Ever notice how the “innocent mistakes” by the CDC never cut in favor of truth, transparency, or actual data?
Instead, l…",0,13,Twitter for iPad,1505923087157628937,2022-03-21 15:03:37+00:00
ConnorDaleyVT,He/Him (unceded Abenaki land),RT @winooskivt: #Winooski - please take a moment to fill out our American Rescue Plan Act (ARPA) Survey. What are the negative impacts you'…,0,1,Twitter for iPhone,1505923086708887552,2022-03-21 15:03:37+00:00
DaleRose111,Ontario ,Ninety per cent of principals say staffing schools a challenge during COVID-19 pandemic: survey https://t.co/LiUPTQeftp via @cp24,0,0,Twitter Web App,1505923080115441673,2022-03-21 15:03:35+00:00
bhavuksahni,"Delhi, India",RT @USAIDLAC: USAID has worked hard to make sure our partners have the tools and training they need to fight COVID-19 and the various chall…,0,3,Twitter Web App,1505923075119800324,2022-03-21 15:03:34+00:00
SomenMitra3,"Kolkata, India","RT @Abhishek_Raj_B: Modi Ji,
Though the Government is being criticised for Unemployment,
But, if it gives
#UPSCAttempt
Then, at least the…",0,8,Twitter for Android,1505923069180887043,2022-03-21 15:03:33+00:00
Dar00814572,,RT @SciTechDaily1: Saliva Testing for COVID-19 Is Quicker and Safer Than Nasal Swabs https://t.co/dBZVFivwpl,0,1,Twitter Web App,1505923069084418055,2022-03-21 15:03:33+00:00
KimWallaceJC,"Jersey City, NJ",RT @HealthierJC: Many Jersey City families still face food insecurity due to COVID-19 challenges. Remember to donate to Food Pantry locatio…,0,3,Twitter for iPhone,1505923064646799360,2022-03-21 15:03:31+00:00
HoosierRebel44,Democrat For Life ,"@ACTBrigitte Why?
 When Republicans have been nothing but against the Covid-19 vaccine, &amp; wearing masks to protect… https://t.co/zp6DSXsZB0",1,0,Twitter for Android,1505923061970837509,2022-03-21 15:03:31+00:00
w_hilary,"SD36, Surrey, BC","RT @corman_irene: Nova Scotia has been a safety leader in Canada, largely due to the efforts of Dr. Barrett. 
 Infectious disease expert s…",0,28,Twitter for iPhone,1505923058753630210,2022-03-21 15:03:30+00:00
ejustin46,"Cannes, France","Ukraine crisis on top of Covid-19 pandemic is one shock too many for the global economy
https://t.co/Bp38jVFl9m",0,0,Twitter for Android,1505923056346320896,2022-03-21 15:03:29+00:00
