user,location,tweet,likes,RT,Source,ID,Date
44Kingwavy,,"RT @sdbvideo: Wild hog strapped with tannerite.
#sdbvideo 
oink oink goes boom boom.
#WorldstarHiphop #WORLDSTAR #coronavirus #LoseWithBide…",0,4,Twitter for iPhone,1507864406050234369,2022-03-26 23:37:43+00:00
subgap,The Netherlands,"Coronavirus Update:
☣️️ Total cases: 480,831,212 (+166,787) ☣️️
⚠️ Current cases: 59,633,688 (-44,971) ⚠️
⚰️ Deaths… https://t.co/yaxs1TN9bm",1,1,CoronaVirus Bot by Sloth,1507862976484843523,2022-03-26 23:32:02+00:00
lisaevictoria,,"RT @maxplanckpress: The #coronavirus not only infects the human retina, but can also replicate in it. A new study @MPI_Muenster &amp; @WWU_Muen…",0,185,Twitter for iPhone,1507862879739211780,2022-03-26 23:31:39+00:00
JudyandHuahua,"Sydney, New South Wales","RT @maxplanckpress: The #coronavirus not only infects the human retina, but can also replicate in it. A new study @MPI_Muenster &amp; @WWU_Muen…",0,185,Twitter for iPhone,1507862747400503297,2022-03-26 23:31:08+00:00
CovidData2,,New COVID-19 Data at 2022-03-26 07:30:00 pm EDT #Coronavirus #COVID19 #COVID_19 https://t.co/2KQ4B2smZ5,0,0,coronaData_Test,1507862549387218946,2022-03-26 23:30:21+00:00
wakeywakey107,,When are health officials and gov going to #stopmandates for #coronavirus #vaccine and the 40-60yo are dropping off… https://t.co/W5GU2HFT0a,0,0,Twitter for iPhone,1507862449491689474,2022-03-26 23:29:57+00:00
Frances99423129,,"RT @SMaurizi: 2 years ago,as #Coronavirus pandemic exploded, I tried to investigate on #Metabiota,a San Francisco firm tracking epidemics f…",0,24,Twitter for Android,1507862086625513474,2022-03-26 23:28:30+00:00
smAshomAsh,"Pennsylvania, USA",#scam detected!  #Cases are proportional to number of #tests performed and always have been.  #coronavirus… https://t.co/ZoXy7Ktp3G,0,0,Twitter Web App,1507861905045704713,2022-03-26 23:27:47+00:00
enriquegalardi,getxo-bizkaia,"RT @EduCannotWait: #COVID19 is disrupting education globally. 

For children &amp; youth already affected by armed conflicts, displacement &amp; di…",0,21,Twitter for iPhone,1507861650011041795,2022-03-26 23:26:46+00:00
BubbaGak,,This Bubba Gak NFT is available on OpenSea! #coronavirus #Covid_19 #nft #OpenSeaNFT #opensea #Aliens #aliennft… https://t.co/oMnIeuaQhi,2,0,Twitter for iPhone,1507861523175284744,2022-03-26 23:26:16+00:00
corona_tweet,,"RT @BuyStrategyCom: [Free PowerPoint] #Coronavirus: Impact, Implications, &amp; Immediate Actions https://t.co/Ynqlt5h8IC #whitepaper #business…",0,1,CoronaTweetBot,1507860889231400962,2022-03-26 23:23:45+00:00
corona_tweet,,"RT @jamjamtv: World Coronavirus News
CoroNow
Live Update
https://t.co/RBDjV3NBJk
#coronavirus
#covid19
#CoroNow #WorldNews",0,1,CoronaTweetBot,1507860880322670599,2022-03-26 23:23:43+00:00
corona_tweet,,"RT @POTUSCameron: People still like to put blame on #Covid_19, but I don’t hear hardly anything about the #Coronavirus anymore. We need to…",0,1,CoronaTweetBot,1507860850505302016,2022-03-26 23:23:36+00:00
BuyStrategyCom,New York,"[Free PowerPoint] #Coronavirus: Impact, Implications, &amp; Immediate Actions https://t.co/Ynqlt5h8IC #whitepaper… https://t.co/Oj5zpyg00u",0,1,IFTTT,1507859764532977666,2022-03-26 23:19:17+00:00
jamjamtv,The Earth,"World Coronavirus News
CoroNow
Live Update
https://t.co/RBDjV3NBJk
#coronavirus
#covid19
#CoroNow #WorldNews",0,1,twittbot.net,1507859665702764548,2022-03-26 23:18:53+00:00
POTUSCameron,,"People still like to put blame on #Covid_19, but I don’t hear hardly anything about the #Coronavirus anymore. We ne… https://t.co/PdWiODLhuy",0,1,Twitter for iPhone,1507859354887897088,2022-03-26 23:17:39+00:00
