user,location,tweet,likes,RT,Source,ID,Date
judyannaggie,,"CDC Overreported COVID-19 Deaths By More Than 70,000 | The Daily Wire https://t.co/vI9555iGf4",0,0,Twitter for iPad,1506720475094913024,2022-03-23 19:52:09+00:00
RossDecarlo,,"IS MILITARY INTELLIGENCE A non sequitur ?
1-Armed forces are dismissing unjabbed soldiers.
YET
A RECENT rise in hea… https://t.co/reevEm4Ib3",0,0,Twitter Web App,1506720471982637061,2022-03-23 19:52:08+00:00
RideYourOwnMelt,,RT @PhilippineStar: The country has been battling a record COVID-19 wave driven by the highly infectious Omicron variant even as it largely…,0,14,Twitter for Android,1506720466915921920,2022-03-23 19:52:07+00:00
curtis_powers,Central Iowa,"RT @tax: A provision in the Covid-19 relief law President Joe Biden signed last year requires third-party networks, such as eBay and PayPal…",0,4,Twitter Web App,1506720466341355520,2022-03-23 19:52:07+00:00
HappyClown_7,,"RT @Roberto09134756: Complete COVID-19 Vaccine-Related Athlete Injury/Death List To-Date: 779 Cardiac Arrests, Serious Issues, 500 Dead htt…",0,1,Twitter for iPhone,1506720463183298561,2022-03-23 19:52:06+00:00
abc_nuwus,Austwawia,Whats this? Qweenswandews hit by COVID-19 and fwooding awe stwuggwing to get theiw wives back on twack (๑•́ ₃ •̀๑) https://t.co/7Co6zTzShH,0,0,nuwus,1506720458279895046,2022-03-23 19:52:05+00:00
PercieModel1,Hong Kong,"During the pandemic, it makes sense that If you test positive for COVID-19 need to be careful with washing hands wi… https://t.co/W2k4SsXBye",0,0,"Cheap Bots, Done Quick!",1506720455658389507,2022-03-23 19:52:04+00:00
canilatwit,Otley,RT @rpoconnor: 1/5: So here we have the recently-retired Unifor head allegedly taking a bribe from a COVID test manufacturer at the same ti…,0,8,Twitter for Android,1506720454677090312,2022-03-23 19:52:04+00:00
humanblacklight,"The Pugetropolis, WA USA",This guy thinks that COVID-19 is over... so why not raid that fund? It's not over... not nearly over... give it 4 w… https://t.co/ezC0mQutyd,0,0,Twitter Web App,1506720452982452225,2022-03-23 19:52:04+00:00
thayer916,United States,"More Americans 65 and Under Died from Alcohol-Related Causes Than Covid-19 in 2020, Study Finds https://t.co/DbOg1BjN66",0,0,Twitter Web App,1506720445659287555,2022-03-23 19:52:02+00:00
thepoetpreneur,"Lagos, Nigeria",RT @E_Chinemerem: Imagine if zombie virus hits the world like COVID-19 😱,0,15,Twitter for Android,1506720436008243200,2022-03-23 19:52:00+00:00
GG37374104,,RT @Bzubyk: I had a sciatica problem a few years ago and don't recall taking payola. But that's just me. #cndpoli  https://t.co/X5paSTrJQT,0,1,Twitter Web App,1506720433269313537,2022-03-23 19:51:59+00:00
Dadoftrips1974,,RT @rpoconnor: 1/5: So here we have the recently-retired Unifor head allegedly taking a bribe from a COVID test manufacturer at the same ti…,0,8,Twitter Web App,1506720428554952706,2022-03-23 19:51:58+00:00
endoftimesLA,,"RT @alphatrends: WTF!?!

Alcohol-related deaths in 2020 outnumbered COVID-19 deaths among adults younger than 65, The New York Times

anyon…",0,104,Twitter for iPhone,1506720424142393346,2022-03-23 19:51:57+00:00
Goody4U2,"Kawartha Lakes, Ontario ","I think it's important that the companies be named in this as well. Are there corporate officers out there

https://t.co/gcETKLjje7",0,0,Twitter for Android,1506720423370760192,2022-03-23 19:51:57+00:00
HlangananiMhin1,"Cape Town, South Africa",RT @IamHajrah: #NoToForcedVaccinesForGatherings @CyrilRamaphosa @PresidencyZA is this the reason why you are forcing Covid-19 vaccine down…,0,62,Twitter for iPhone,1506720416857038851,2022-03-23 19:51:55+00:00
fiona_fionnagal,Angus,"RT @Kit_Yates_Maths: Despite claiming on multiple occasions that it was their number one priority, the government has not done enough to mi…",0,16,Twitter Web App,1506720416508829706,2022-03-23 19:51:55+00:00
jordanbaglivi,,"RT @disclosetv: JUST IN - Fully vaccinated Hillary Clinton infected with COVID-19, says she has ""mild"" symptoms.",0,1825,Twitter for iPhone,1506720413489025030,2022-03-23 19:51:54+00:00
libeliting,,"@JeramyNelson1 @dys_funktion101 @truckinwithnorm someone maybe should tell the Mayo Clinic 

https://t.co/o2BkqPDl99",0,0,Twitter Web App,1506720412650115085,2022-03-23 19:51:54+00:00
Ligma_T_Aint,,"RT @kerpen: The Lancet: COVID-19 Infection Fatality and Survival Ratios by Age
https://t.co/mdpth3hQw4 https://t.co/XzZCuGQ1ol",0,539,Twitter Web App,1506720406895570946,2022-03-23 19:51:53+00:00
philipcrobinson,"Brisbane, Australia","Understanding Kids and COVID
As researchers learn more about why COVID-19 tends to be much less severe in children,… https://t.co/g8fv9uCMDE",0,0,Twitter for iPhone,1506720401514065920,2022-03-23 19:51:51+00:00
doctorvasan,,has used their adult adjuvant dose and vaccine platform in children as young as 6 months old in previous trials wit… https://t.co/Ms0NYg2Us1,0,0,Twitter for iPhone,1506720401434497028,2022-03-23 19:51:51+00:00
manjuggm,,"RT @sailorrooscout: “The second thing to know about the COVID-19 vaccines is that they’re flame retardants, not impenetrable firewalls, whe…",0,13,Twitter Web App,1506720401191227401,2022-03-23 19:51:51+00:00
StHilaire2015,"Montreal, Canada","The Barry &amp; Honey Sherman murders in 2017, coincided with Germany and the WHO initiating their planning and prepari… https://t.co/vPrEXhH6TV",0,0,Twitter Web App,1506720390881714184,2022-03-23 19:51:49+00:00
xyan1061,,"RT @disclosetv: JUST IN - Fully vaccinated Hillary Clinton infected with COVID-19, says she has ""mild"" symptoms.",0,1825,Twitter for iPad,1506720388868358148,2022-03-23 19:51:48+00:00
tailacoin,,"RT @EbThen: Like I said, COVID-19 has felt like a speed run of the climate crisis.

I imagine they're just going to tell kids to give up on…",0,2,Twitter for iPhone,1506720386863538187,2022-03-23 19:51:48+00:00
AngelEdLib,,"RT @UKCovid19Stats: United Kingdom Daily Coronavirus (COVID-19) Report · Wednesday 23rd March.

102,483 new cases (people positive) reporte…",0,150,Twitter for iPhone,1506720383378014209,2022-03-23 19:51:47+00:00
jayz0r0621,"Goodyear, AZ","@gramsci33 @FiveTimesAugust @HillaryClinton I bet these ones do, too.

https://t.co/GuykojPwnq",0,0,Twitter for iPhone,1506720377631739906,2022-03-23 19:51:46+00:00
TexasDem2,"Greenville, TX","Firefighter William Jordan Carter Gets Probation After Lying
About COVID-19 Diagnosis, Taking Paid Vacation 
https://t.co/7THlFEqcO8",0,0,IFTTT,1506720376214233089,2022-03-23 19:51:45+00:00
_6thgod,Earth 🌍,RT @E_Chinemerem: Imagine if zombie virus hits the world like COVID-19 😱,0,15,Twitter for iPhone,1506720371982180354,2022-03-23 19:51:44+00:00
starleyfar,"New Jersey, USA","RT @HighWireTalk: ""The announcement came one day after the state shut down its testing sites."" RT New Hampshire closing state-run COVID-19…",0,55,Twitter for Android,1506720363153133571,2022-03-23 19:51:42+00:00
PJWestlake,"Saffron Walden, Essex","RT @JujuliaGrace: Let’s hit 5000 signatures! 700 to go🤞💙🤞💙🤞💙🤞💙🤞💙🤞💙

👉 https://t.co/KzuyTqU6S8",0,13,Twitter for Android,1506720362477854730,2022-03-23 19:51:42+00:00
manjuggm,,RT @sailorrooscout: “The first thing to know about the COVID-19 vaccines is that they’re doing exactly what they were designed and authoriz…,0,10,Twitter Web App,1506720356526170117,2022-03-23 19:51:41+00:00
ZiggyBombadil,"Philadelphia, PA","RT @ABC: Sen. Tillis on Judge Jackson’s judicial opinion regarding COVID-19 cases in jails: “Do I read that statement to say that you felt,…",0,375,Twitter for iPhone,1506720356257742856,2022-03-23 19:51:41+00:00
E46088871,,"RT @Kit_Yates_Maths: It was the beginning of the UK’s first lockdown. Two years on from that surreal Monday evening, more than 185 000 peop…",0,30,Twitter Web App,1506720342651379721,2022-03-23 19:51:37+00:00
suestroud,Brentwood Bay Vancouver Island,RT @CDCofBC: Do you have a general question about COVID-19 in BC? Suggest it to our team! Use #AskBCCDC to view previously answered questio…,0,2,Twitter for Android,1506720341833367557,2022-03-23 19:51:37+00:00
FalangeDion,Gurnee Illinois  ,"RT @CNN: Kirsten Allen will be Vice President Kamala Harris' new press secretary, leaving her current role as national press secretary for…",0,6,Twitter Web App,1506720335193911297,2022-03-23 19:51:36+00:00
TheBillNeedle,Mellonville,RT @rpoconnor: 1/5: So here we have the recently-retired Unifor head allegedly taking a bribe from a COVID test manufacturer at the same ti…,0,8,Twitter Web App,1506720324024356868,2022-03-23 19:51:33+00:00
FipcoB,,"RT @BNODesk: Number of people hospitalized with COVID-19 in Scotland reaches 2,257, the highest since the pandemic began",0,479,Tweetbot for iΟS,1506720323407908869,2022-03-23 19:51:33+00:00
